transaction_id,network,amount,currency,merchant_country,merchant_id,merchant_name,mcc,card_country,card_type,card_product,is_commercial_card,channel,entry_mode,authentication,authorization_timestamp,clearing_timestamp,authorization_code,settlement_status,merchant_data_complete,recurring,refund
TX-200001,VISA,100.00,EUR,RO,MER-123,Example Electronics,5732,FR,consumer_credit,traditional,false,ecommerce,card_not_present,3ds_authenticated,2026-09-01T10:00:00Z,2026-09-02T10:00:00Z,A78291,settled,true,false,false
TX-200002,MASTERCARD,42.50,EUR,RO,MER-456,Example Market,5411,RO,debit,traditional,false,pos,chip,3ds_not_applicable,2026-09-01T11:30:00Z,2026-09-02T09:00:00Z,B19110,settled,true,false,false
TX-200003,VISA,249.99,USD,US,MER-789,Northwind Travel,4722,US,credit,traditional,false,ecommerce,card_not_present,3ds_authenticated,2026-09-01T12:15:00Z,2026-09-03T08:20:00Z,C30482,settled,true,false,false
TX-200004,MASTERCARD,18.75,GBP,GB,MER-321,London Books,5942,GB,debit,traditional,false,pos,contactless,3ds_not_applicable,2026-09-01T13:05:00Z,2026-09-02T13:00:00Z,D41873,settled,true,false,false
TX-200005,VISA,75.00,EUR,DE,MER-654,Berlin Clothing,5651,DE,credit,traditional,false,pos,chip,3ds_not_applicable,2026-09-01T14:10:00Z,2026-09-03T10:00:00Z,E52964,settled,true,false,false
TX-200006,MASTERCARD,12.40,EUR,FR,MER-987,Paris Bakery,5462,ES,debit,traditional,false,pos,contactless,3ds_not_applicable,2026-09-01T15:25:00Z,2026-09-02T15:00:00Z,F63075,settled,true,false,false
TX-200007,VISA,560.00,EUR,IT,MER-246,Roma Hotels,7011,IT,credit,traditional,false,ecommerce,card_not_present,3ds_authenticated,2026-09-02T08:40:00Z,2026-09-04T09:30:00Z,G74186,settled,true,true,false
TX-200008,MASTERCARD,33.33,EUR,ES,MER-135,Madrid Pharmacy,5912,PT,debit,traditional,false,pos,chip,3ds_not_applicable,2026-09-02T09:15:00Z,2026-09-03T09:15:00Z,H85297,settled,true,false,false
TX-200009,VISA,89.90,USD,US,MER-864,Seattle Hardware,5251,CA,debit,traditional,false,pos,chip,3ds_not_applicable,2026-09-02T10:20:00Z,2026-09-04T11:00:00Z,J96308,settled,true,false,false
TX-200010,MASTERCARD,150.00,EUR,NL,MER-753,Amsterdam Services,7399,NL,commercial_credit,purchasing,true,ecommerce,card_not_present,3ds_authenticated,2026-09-02T11:45:00Z,2026-09-05T08:00:00Z,K17419,settled,true,true,false
TX-200011,VISA,27.80,EUR,RO,MER-123,Example Electronics,5732,RO,debit,traditional,false,pos,contactless,3ds_not_applicable,2026-09-02T12:30:00Z,2026-09-03T12:00:00Z,L28520,settled,true,false,false
TX-200012,MASTERCARD,64.25,EUR,RO,MER-456,Example Market,5411,HU,credit,traditional,false,ecommerce,card_not_present,3ds_authenticated,2026-09-02T13:10:00Z,2026-09-04T09:45:00Z,M39631,settled,true,false,false
TX-200013,VISA,9.99,GBP,GB,MER-321,London Books,5942,GB,debit,traditional,false,pos,chip,3ds_not_applicable,2026-09-02T14:05:00Z,2026-09-03T10:30:00Z,N40742,settled,true,false,false
TX-200014,MASTERCARD,310.00,EUR,DE,MER-654,Berlin Clothing,5651,AT,credit,traditional,false,ecommerce,card_not_present,3ds_authenticated,2026-09-02T15:50:00Z,2026-09-05T11:20:00Z,P51853,settled,true,false,false
TX-200015,VISA,45.60,EUR,FR,MER-987,Paris Bakery,5462,FR,debit,traditional,false,pos,contactless,3ds_not_applicable,2026-09-03T08:25:00Z,2026-09-04T08:25:00Z,Q62964,settled,true,false,false
TX-200016,MASTERCARD,720.00,EUR,IT,MER-246,Roma Hotels,7011,CH,commercial_credit,purchasing,true,ecommerce,card_not_present,3ds_authenticated,2026-09-03T09:00:00Z,2026-09-06T09:00:00Z,R73075,settled,true,true,false
TX-200017,VISA,16.35,EUR,ES,MER-135,Madrid Pharmacy,5912,ES,debit,traditional,false,pos,chip,3ds_not_applicable,2026-09-03T10:40:00Z,2026-09-04T10:40:00Z,S84186,settled,true,false,false
TX-200018,MASTERCARD,205.49,USD,US,MER-789,Northwind Travel,4722,MX,credit,traditional,false,ecommerce,card_not_present,3ds_authenticated,2026-09-03T11:15:00Z,2026-09-05T12:15:00Z,T95297,settled,true,false,false
TX-200019,VISA,58.00,EUR,NL,MER-753,Amsterdam Services,7399,BE,debit,traditional,false,pos,contactless,3ds_not_applicable,2026-09-03T12:05:00Z,2026-09-04T12:05:00Z,U16308,settled,true,false,false
TX-200020,MASTERCARD,99.99,EUR,RO,MER-123,Example Electronics,5732,RO,credit,traditional,false,ecommerce,card_not_present,3ds_authenticated,2026-09-03T13:35:00Z,2026-09-05T08:35:00Z,V27419,settled,true,false,false
TX-200021,VISA,24.00,GBP,GB,MER-321,London Books,5942,IE,debit,traditional,false,pos,chip,3ds_not_applicable,2026-09-04T08:10:00Z,2026-09-05T09:10:00Z,W38520,settled,true,false,false
TX-200022,MASTERCARD,430.75,EUR,DE,MER-654,Berlin Clothing,5651,DE,commercial_credit,purchasing,true,ecommerce,card_not_present,3ds_authenticated,2026-09-04T09:45:00Z,2026-09-07T10:00:00Z,X49631,settled,true,true,false
TX-200023,VISA,11.20,EUR,FR,MER-987,Paris Bakery,5462,FR,debit,traditional,false,pos,contactless,3ds_not_applicable,2026-09-04T10:30:00Z,2026-09-05T10:30:00Z,Y50742,settled,true,false,false
TX-200024,MASTERCARD,68.90,EUR,IT,MER-246,Roma Hotels,7011,IT,credit,traditional,false,ecommerce,card_not_present,3ds_authenticated,2026-09-04T11:20:00Z,2026-09-06T11:20:00Z,Z61853,settled,true,false,false
TX-200025,VISA,39.95,EUR,ES,MER-135,Madrid Pharmacy,5912,ES,debit,traditional,false,pos,chip,3ds_not_applicable,2026-09-04T12:10:00Z,2026-09-05T12:10:00Z,A72964,settled,true,false,false
TX-200026,MASTERCARD,275.00,USD,US,MER-864,Seattle Hardware,5251,US,credit,traditional,false,ecommerce,card_not_present,3ds_authenticated,2026-09-04T13:00:00Z,2026-09-07T13:00:00Z,B83075,settled,true,false,false
TX-200027,VISA,14.50,EUR,NL,MER-753,Amsterdam Services,7399,NL,debit,traditional,false,pos,contactless,3ds_not_applicable,2026-09-05T08:35:00Z,2026-09-06T08:35:00Z,C94186,settled,true,false,false
TX-200028,MASTERCARD,125.00,EUR,RO,MER-456,Example Market,5411,RO,commercial_credit,purchasing,true,pos,chip,3ds_not_applicable,2026-09-05T09:20:00Z,2026-09-06T09:20:00Z,D15297,settled,true,false,false
TX-200029,VISA,88.88,EUR,RO,MER-123,Example Electronics,5732,BG,debit,traditional,false,ecommerce,card_not_present,3ds_authenticated,2026-09-05T10:15:00Z,2026-09-07T10:15:00Z,E26308,settled,true,false,false
TX-200030,MASTERCARD,52.30,GBP,GB,MER-321,London Books,5942,GB,credit,traditional,false,pos,contactless,3ds_not_applicable,2026-09-05T11:05:00Z,2026-09-06T11:05:00Z,F37419,settled,true,false,false
TX-200031,VISA,199.00,EUR,DE,MER-654,Berlin Clothing,5651,DE,credit,traditional,false,ecommerce,card_not_present,3ds_authenticated,2026-09-05T12:40:00Z,2026-09-08T08:40:00Z,G48520,settled,true,true,false
TX-200032,MASTERCARD,31.10,EUR,FR,MER-987,Paris Bakery,5462,FR,debit,traditional,false,pos,chip,3ds_not_applicable,2026-09-06T08:00:00Z,2026-09-07T08:00:00Z,H59631,settled,true,false,false
TX-200033,VISA,640.00,EUR,IT,MER-246,Roma Hotels,7011,IT,commercial_credit,purchasing,true,ecommerce,card_not_present,3ds_authenticated,2026-09-06T09:30:00Z,2026-09-09T09:30:00Z,J60742,settled,true,true,false
TX-200034,MASTERCARD,22.45,EUR,ES,MER-135,Madrid Pharmacy,5912,PT,debit,traditional,false,pos,contactless,3ds_not_applicable,2026-09-06T10:25:00Z,2026-09-07T10:25:00Z,K71853,settled,true,false,false
TX-200035,VISA,315.60,USD,US,MER-789,Northwind Travel,4722,US,credit,traditional,false,ecommerce,card_not_present,3ds_authenticated,2026-09-06T11:10:00Z,2026-09-08T11:10:00Z,L82964,settled,true,false,false
TX-200036,MASTERCARD,47.00,EUR,NL,MER-753,Amsterdam Services,7399,NL,debit,traditional,false,pos,chip,3ds_not_applicable,2026-09-06T12:00:00Z,2026-09-07T12:00:00Z,M93075,settled,true,false,false
TX-200037,VISA,73.25,EUR,RO,MER-456,Example Market,5411,RO,credit,traditional,false,ecommerce,card_not_present,3ds_authenticated,2026-09-07T08:45:00Z,2026-09-08T08:45:00Z,N14186,settled,true,false,false
TX-200038,MASTERCARD,8.99,GBP,GB,MER-321,London Books,5942,GB,debit,traditional,false,pos,contactless,3ds_not_applicable,2026-09-07T09:35:00Z,2026-09-08T09:35:00Z,P25297,settled,true,false,false
TX-200039,VISA,145.00,EUR,DE,MER-654,Berlin Clothing,5651,DE,credit,traditional,false,ecommerce,card_not_present,3ds_authenticated,2026-09-07T10:20:00Z,2026-09-09T10:20:00Z,Q36308,settled,true,true,false
TX-200040,MASTERCARD,66.66,EUR,FR,MER-987,Paris Bakery,5462,FR,debit,traditional,false,pos,chip,3ds_not_applicable,2026-09-07T11:15:00Z,2026-09-08T11:15:00Z,R47419,settled,true,false,false
